text	pinyin	frequencyTier	category	sourceId	updatedAt	expiresAt	domain	layer	processingRule
稍等一下	shao deng yi xia	high	modern_colloquial	project-v2-colloquial	2026-08-14			base	manual-independent-curation-v1
我马上到	wo ma shang dao	high	modern_colloquial	project-v2-colloquial	2026-08-14			base	manual-independent-curation-v1
路上小心	lu shang xiao xin	high	modern_colloquial	project-v2-colloquial	2026-08-14			base	manual-independent-curation-v1
晚点联系	wan dian lian xi	high	modern_colloquial	project-v2-colloquial	2026-08-14			base	manual-independent-curation-v1
记得吃饭	ji de chi fan	normal	modern_colloquial	project-v2-colloquial	2026-08-14			base	manual-independent-curation-v1
到家说一声	dao jia shuo yi sheng	normal	modern_colloquial	project-v2-colloquial	2026-08-14			base	manual-independent-curation-v1
有事留言	you shi liu yan	normal	modern_colloquial	project-v2-colloquial	2026-08-14			base	manual-independent-curation-v1
明天再聊	ming tian zai liao	high	modern_colloquial	project-v2-colloquial	2026-08-14			base	manual-independent-curation-v1
发我一份	fa wo yi fen	normal	modern_colloquial	project-v2-colloquial	2026-08-14			base	manual-independent-curation-v1
帮我确认	bang wo que ren	normal	modern_colloquial	project-v2-colloquial	2026-08-14			base	manual-independent-curation-v1
周末见面	zhou mo jian mian	normal	modern_colloquial	project-v2-colloquial	2026-08-14			base	manual-independent-curation-v1
今天辛苦了	jin tian xin ku le	high	modern_colloquial	project-v2-colloquial	2026-08-14			base	manual-independent-curation-v1
有空聊聊	you kong liao liao	normal	modern_colloquial	project-v2-colloquial	2026-08-14			base	manual-independent-curation-v1
收到请回复	shou dao qing hui fu	high	modern_colloquial	project-v2-colloquial	2026-08-14			base	manual-independent-curation-v1
别太离谱	bie tai li pu	normal	modern_colloquial	project-v2-colloquial	2026-08-14			base	manual-independent-curation-v1
这波可以	zhe bo ke yi	normal	modern_colloquial	project-v2-colloquial	2026-08-14			base	manual-independent-curation-v1
太有感觉了	tai you gan jue le	normal	modern_colloquial	project-v2-colloquial	2026-08-14			base	manual-independent-curation-v1
先码住	xian ma zhu	low	modern_colloquial	project-v2-colloquial	2026-08-14			base	manual-independent-curation-v1
回头细说	hui tou xi shuo	normal	modern_colloquial	project-v2-colloquial	2026-08-14			base	manual-independent-curation-v1
在线等	zai xian deng	low	modern_colloquial	project-v2-colloquial	2026-08-14			base	manual-independent-curation-v1
蹲个后续	dun ge hou xu	low	modern_colloquial	project-v2-colloquial	2026-08-14			base	manual-independent-curation-v1
情绪拉满	qing xu la man	low	modern_colloquial	project-v2-colloquial	2026-08-14			base	manual-independent-curation-v1
狠狠期待	hen hen qi dai	low	modern_colloquial	project-v2-colloquial	2026-08-14			base	manual-independent-curation-v1
稳稳拿下	wen wen na xia	low	modern_colloquial	project-v2-colloquial	2026-08-14			base	manual-independent-curation-v1
袁隆平	yuan long ping	normal	proper_person	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
屠呦呦	tu you you	normal	proper_person	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
钱学森	qian xue sen	normal	proper_person	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
邓稼先	deng jia xian	normal	proper_person	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
杨振宁	yang zhen ning	normal	proper_person	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
莫言	mo yan	normal	proper_person	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
苏炳添	su bing tian	normal	proper_person	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
樊振东	fan zhen dong	normal	proper_person	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
郑钦文	zheng qin wen	normal	proper_person	project-v2-proper	2026-08-14			base	manual-public-name-curation-v1
